Time,CURRENT,mA
8372,CURRENT,948,0
8375,CURRENT,886,0
8377,CURRENT,879,0
8380,CURRENT,943,0
8383,CURRENT,866,0
8385,CURRENT,934,0
8388,CURRENT,794,0
8391,CURRENT,914,0
8393,CURRENT,783,0
8396,CURRENT,850,0
8398,CURRENT,976,0
8401,CURRENT,870,0
8404,CURRENT,893,0
8407,CURRENT,940,0
8410,CURRENT,842,0
8413,CURRENT,849,0
8415,CURRENT,868,0
8418,CURRENT,895,0
8421,CURRENT,899,0
8423,CURRENT,905,0
8426,CURRENT,879,0
8429,CURRENT,848,0
8431,CURRENT,936,0
8434,CURRENT,850,0
8437,CURRENT,976,0
8439,CURRENT,762,0
8442,CURRENT,861,0
8445,CURRENT,999,0
8448,CURRENT,856,0
8451,CURRENT,864,0
8454,CURRENT,804,0
8456,CURRENT,853,0
8459,CURRENT,926,0
8462,CURRENT,912,0
8464,CURRENT,920,0
8467,CURRENT,931,0
8470,CURRENT,883,0
8472,CURRENT,924,0
8475,CURRENT,831,0
8478,CURRENT,893,0
8480,CURRENT,923,0
8483,CURRENT,837,0
8485,CURRENT,907,0
8488,CURRENT,895,0
8492,CURRENT,922,0
8494,CURRENT,877,0
8497,CURRENT,952,0
8500,CURRENT,745,0
8502,CURRENT,867,0
8505,CURRENT,807,0
8508,CURRENT,860,0
8510,CURRENT,872,0
8513,CURRENT,959,0
8516,CURRENT,944,0
8518,CURRENT,955,0
8521,CURRENT,971,0
8524,CURRENT,947,0
8526,CURRENT,964,0
8529,CURRENT,891,0
8532,CURRENT,943,0
8535,CURRENT,832,0
8538,CURRENT,879,0
8541,CURRENT,871,0
8543,CURRENT,882,0
8546,CURRENT,987,0
8549,CURRENT,936,0
8551,CURRENT,856,0
8554,CURRENT,972,0
8557,CURRENT,778,0
8559,CURRENT,953,0
8562,CURRENT,905,0
8565,CURRENT,941,0
8567,CURRENT,954,0
8570,CURRENT,948,0
8572,CURRENT,743,0
8576,CURRENT,984,0
8579,CURRENT,862,0
8581,CURRENT,877,0
8584,CURRENT,925,0
8587,CURRENT,951,0
8589,CURRENT,845,0
8592,CURRENT,861,0
8595,CURRENT,857,0
8597,CURRENT,891,0
8600,CURRENT,972,0
8603,CURRENT,953,0
8605,CURRENT,826,0
8608,CURRENT,958,0
8611,CURRENT,897,0
8613,CURRENT,772,0
8616,CURRENT,1014,0
8620,CURRENT,801,0
8622,CURRENT,971,0
8625,CURRENT,927,0
8628,CURRENT,847,0
8630,CURRENT,899,0
8633,CURRENT,949,0
8636,CURRENT,1013,0
8638,CURRENT,989,0
8641,CURRENT,885,0
8644,CURRENT,863,0
8646,CURRENT,898,0
8649,CURRENT,855,0
8652,CURRENT,929,0
8654,CURRENT,983,0
8657,CURRENT,801,0
8660,CURRENT,955,0
8663,CURRENT,893,0
8666,CURRENT,990,0
8669,CURRENT,933,0
8671,CURRENT,836,0
8674,CURRENT,916,0
8677,CURRENT,1033,0
8679,CURRENT,902,0
8682,CURRENT,987,0
8685,CURRENT,888,0
8687,CURRENT,925,0
8690,CURRENT,890,0
8693,CURRENT,957,0
8695,CURRENT,947,0
8698,CURRENT,893,0
8701,CURRENT,958,0
8704,CURRENT,915,0
8707,CURRENT,907,0
8710,CURRENT,959,0
8712,CURRENT,1018,0
8715,CURRENT,914,0
8718,CURRENT,856,0
8720,CURRENT,768,0
8723,CURRENT,848,0
8726,CURRENT,912,0
8728,CURRENT,998,0
8731,CURRENT,935,0
8734,CURRENT,905,0
8736,CURRENT,1006,0
8739,CURRENT,984,0
8742,CURRENT,879,0
8744,CURRENT,916,0
8748,CURRENT,944,0
8751,CURRENT,934,0
8753,CURRENT,944,0
8756,CURRENT,1013,0
8759,CURRENT,991,0
8761,CURRENT,995,0
8764,CURRENT,837,0
8767,CURRENT,922,0
8769,CURRENT,972,0
8772,CURRENT,883,0
8775,CURRENT,1000,0
8777,CURRENT,952,0
8780,CURRENT,976,0
8783,CURRENT,974,0
8785,CURRENT,969,0
8788,CURRENT,969,0
8792,CURRENT,916,0
8794,CURRENT,981,0
8797,CURRENT,983,0
8800,CURRENT,904,0
8802,CURRENT,917,0
8805,CURRENT,978,0
8808,CURRENT,921,0
8810,CURRENT,937,0
8813,CURRENT,980,0
8815,CURRENT,1086,0
8818,CURRENT,979,0
8821,CURRENT,909,0
8824,CURRENT,908,0
8826,CURRENT,924,0
8829,CURRENT,942,0
8832,CURRENT,944,0
8835,CURRENT,949,0
8838,CURRENT,904,0
8840,CURRENT,1045,0
8843,CURRENT,954,0
8846,CURRENT,893,0
8849,CURRENT,994,0
8851,CURRENT,934,0
8854,CURRENT,980,0
