Time,CURRENT,mA
79514,CURRENT,287,2
79517,CURRENT,519,2
79520,CURRENT,560,2
79522,CURRENT,454,2
79525,CURRENT,495,2
79528,CURRENT,161,2
79531,CURRENT,401,2
79534,CURRENT,311,2
79537,CURRENT,246,2
79539,CURRENT,155,2
79542,CURRENT,467,2
79545,CURRENT,550,2
79547,CURRENT,405,2
79550,CURRENT,205,2
79553,CURRENT,175,2
79555,CURRENT,236,2
79558,CURRENT,389,2
79561,CURRENT,219,2
79563,CURRENT,104,2
79566,CURRENT,189,2
79569,CURRENT,76,2
79571,CURRENT,47,2
79575,CURRENT,44,2
79577,CURRENT,51,2
79580,CURRENT,62,2
79582,CURRENT,51,2
79585,CURRENT,57,2
79588,CURRENT,49,2
79590,CURRENT,45,2
79593,CURRENT,44,2
79595,CURRENT,44,2
79598,CURRENT,44,2
79600,CURRENT,41,2
79603,CURRENT,37,2
79606,CURRENT,37,2
79608,CURRENT,37,2
79611,CURRENT,37,2
79613,CURRENT,36,2
79617,CURRENT,36,2
79619,CURRENT,58,2
79622,CURRENT,35,2
79625,CURRENT,38,2
79627,CURRENT,38,2
79630,CURRENT,134,2
79632,CURRENT,173,2
79635,CURRENT,136,2
79638,CURRENT,76,2
79640,CURRENT,74,2
79643,CURRENT,91,2
79645,CURRENT,57,2
79648,CURRENT,38,2
79651,CURRENT,35,2
79653,CURRENT,70,2
79656,CURRENT,74,2
79659,CURRENT,64,2
79662,CURRENT,9,2
79664,CURRENT,9,2
79667,CURRENT,9,2
79669,CURRENT,9,2
79672,CURRENT,9,2
79674,CURRENT,9,2
79677,CURRENT,9,2
79679,CURRENT,9,2
79682,CURRENT,9,2
79684,CURRENT,9,2
79687,CURRENT,9,2
79689,CURRENT,9,2
79692,CURRENT,9,2
79694,CURRENT,9,2
79697,CURRENT,10,2
79699,CURRENT,9,2
79703,CURRENT,9,2
79705,CURRENT,9,2
79708,CURRENT,9,2
79710,CURRENT,9,2
79713,CURRENT,9,2
79715,CURRENT,9,2
79718,CURRENT,9,2
79720,CURRENT,9,2
79723,CURRENT,9,2
79725,CURRENT,9,2
79728,CURRENT,9,2
79730,CURRENT,9,2
79733,CURRENT,9,2
79735,CURRENT,9,2
79738,CURRENT,9,2
79740,CURRENT,8,2
79744,CURRENT,9,2
79746,CURRENT,9,2
79749,CURRENT,9,2
79751,CURRENT,8,2
79754,CURRENT,9,2
79756,CURRENT,9,2
79759,CURRENT,9,2
79761,CURRENT,9,2
79764,CURRENT,9,2
79766,CURRENT,9,2
79769,CURRENT,9,2
79771,CURRENT,9,2
79774,CURRENT,9,2
79776,CURRENT,9,2
79779,CURRENT,9,2
79781,CURRENT,9,2
79784,CURRENT,9,2
79787,CURRENT,9,2
79790,CURRENT,9,2
79792,CURRENT,9,2
79794,CURRENT,9,2
79797,CURRENT,9,2
79799,CURRENT,9,2
79802,CURRENT,9,2
79804,CURRENT,9,2
79807,CURRENT,9,2
79809,CURRENT,9,2
79812,CURRENT,9,2
79814,CURRENT,9,2
79817,CURRENT,9,2
79819,CURRENT,9,2
79822,CURRENT,9,2
99664,CURRENT,0,3
99666,CURRENT,61,3
99668,CURRENT,161,3
99670,CURRENT,41,3
99672,CURRENT,7,3
99674,CURRENT,5,3
99676,CURRENT,5,3
99679,CURRENT,5,3
99681,CURRENT,4,3
99684,CURRENT,4,3
99686,CURRENT,5,3
99689,CURRENT,4,3
99691,CURRENT,4,3
99694,CURRENT,4,3
99696,CURRENT,5,3
99699,CURRENT,5,3
99701,CURRENT,4,3
99704,CURRENT,4,3
99706,CURRENT,4,3
99709,CURRENT,4,3
99712,CURRENT,3,3
99715,CURRENT,4,3
99717,CURRENT,5,3
99720,CURRENT,4,3
99722,CURRENT,3,3
99725,CURRENT,4,3
99727,CURRENT,5,3
99730,CURRENT,4,3
99732,CURRENT,3,3
99734,CURRENT,5,3
99737,CURRENT,4,3
99739,CURRENT,4,3
99742,CURRENT,3,3
99744,CURRENT,5,3
99747,CURRENT,5,3
99749,CURRENT,4,3
99752,CURRENT,4,3
99755,CURRENT,6,3
99758,CURRENT,5,3
99760,CURRENT,4,3
99763,CURRENT,5,3
99765,CURRENT,6,3
99768,CURRENT,5,3
99770,CURRENT,4,3
99773,CURRENT,5,3
99775,CURRENT,5,3
99778,CURRENT,5,3
99780,CURRENT,4,3
99783,CURRENT,5,3
99785,CURRENT,5,3
99788,CURRENT,4,3
99790,CURRENT,4,3
99793,CURRENT,5,3
99795,CURRENT,5,3
99799,CURRENT,4,3
99801,CURRENT,6,3
99804,CURRENT,9,3
99806,CURRENT,9,3
99809,CURRENT,9,3
99811,CURRENT,9,3
99814,CURRENT,10,3
99816,CURRENT,9,3
99819,CURRENT,9,3
99821,CURRENT,9,3
99824,CURRENT,9,3
99826,CURRENT,9,3
99829,CURRENT,9,3
99831,CURRENT,9,3
99834,CURRENT,9,3
99836,CURRENT,9,3
99840,CURRENT,9,3
99842,CURRENT,9,3
99845,CURRENT,9,3
99847,CURRENT,9,3
99850,CURRENT,9,3
99852,CURRENT,9,3
99855,CURRENT,9,3
99857,CURRENT,8,3
99860,CURRENT,9,3
99862,CURRENT,586,3
99865,CURRENT,1031,3
99867,CURRENT,886,3
99870,CURRENT,977,3
99873,CURRENT,929,3
99875,CURRENT,907,3
99878,CURRENT,804,3
99881,CURRENT,828,3
99884,CURRENT,846,3
99887,CURRENT,822,3
99890,CURRENT,845,3
99892,CURRENT,682,3
99895,CURRENT,834,3
99898,CURRENT,726,3
99900,CURRENT,474,3
99903,CURRENT,659,3
99906,CURRENT,480,3
99908,CURRENT,643,3
99911,CURRENT,289,3
99914,CURRENT,393,3
99916,CURRENT,566,3
99919,CURRENT,390,3
99922,CURRENT,298,3
99924,CURRENT,280,3
99928,CURRENT,180,3
99931,CURRENT,149,3
99933,CURRENT,85,3
99936,CURRENT,194,3
99938,CURRENT,282,3
99941,CURRENT,241,3
99944,CURRENT,373,3
99946,CURRENT,74,3
99949,CURRENT,139,3
99952,CURRENT,65,3
99954,CURRENT,53,3
99957,CURRENT,82,3
99959,CURRENT,183,3
99962,CURRENT,55,3
99965,CURRENT,47,3
99968,CURRENT,42,3
99971,CURRENT,39,3
99973,CURRENT,44,3
99976,CURRENT,47,3
99978,CURRENT,40,3
99981,CURRENT,36,3
99984,CURRENT,37,3
99986,CURRENT,37,3
99989,CURRENT,35,3
99991,CURRENT,38,3
99994,CURRENT,39,3
99996,CURRENT,37,3
99999,CURRENT,35,3
100002,CURRENT,34,3
100004,CURRENT,65479,3
100007,CURRENT,128,3
100011,CURRENT,145,3
100013,CURRENT,136,3
100016,CURRENT,127,3
100019,CURRENT,117,3
